pc_brand,pc_model,elt_condition,elt_warranty,desktop_screen_size,pc_cpu,pc_ram,pc_vga,pc_drive_capacity,elt_origin,usage_information,classify,price
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i5,32 GB,NVIDIA,> 1 TB,Nước khác,In trên bao bì,desktop,19.900.000 đ
,,,,,,,,,,,desktop,
,,Mới,3 tháng,Không bán kèm màn hình,Intel Core i5,16 GB,NVIDIA,,Việt Nam,In trên bao bì,desktop,11.830.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,desktop,5.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,19 - 20.9 inch,Intel Core i5,8 GB,Khác,128 GB,Đang cập nhật,In trên bao bì,desktop,1.490.000 đ
,,Mới,Còn bảo hành,>= 21 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,desktop,7.500.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,desktop,6.500.000 đ
,,Đã sử dụng (qua sửa chữa),Còn bảo hành,,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,3.750.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,7.600.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i5,8 GB,Onboard,250 GB,Đang cập nhật,In trên bao bì,desktop,3.600.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,4.700.000 đ
,,Mới,Còn bảo hành,>= 21 inch,Intel Xeon,32 GB,AMD,256 GB,Nước khác,In trên bao bì,desktop,8.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i5,,,250 GB,Đang cập nhật,In trên bao bì,desktop,3.700.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,6.700.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Intel Xeon,32 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,7.000.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,16 GB,AMD,256 GB,Hàn Quốc,In trên bao bì,desktop,3.990.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,2.350.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i7,16 GB,AMD,1 TB,Nước khác,In trên bao bì,desktop,6.000.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i5,32 GB,Onboard,512 GB,Mỹ,In trên bao bì,desktop,6.000.000 đ
,,Đã sử dụng (qua sửa chữa),Bảo hành hãng,,Intel Core i7,8 GB,Onboard,128 GB,Nước khác,In trên bao bì,desktop,2.250.000 đ
,,Mới,Bảo hành hãng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Nước khác,In trên bao bì,desktop,7.890.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Việt Nam,In trên bao bì,desktop,4.500.000 đ
,,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,> 32GB,AMD,256 GB,Trung Quốc,In trên bao bì,desktop,4.700.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i5,32 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,desktop,25.300.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,Khác,128 GB,Nước khác,In trên bao bì,desktop,5.500.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,2.800.000 đ
,,Mới,Còn bảo hành,>= 21 inch,Intel Xeon,> 32GB,NVIDIA,500 GB,Việt Nam,In trên bao bì,desktop,10.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i7,16 GB,NVIDIA,250 GB,Việt Nam,In trên bao bì,desktop,6.500.000 đ
,,Đã sử dụng (qua sửa chữa),Bảo hành hãng,,Intel Core i7,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,1.900.000 đ
,,Đã sử dụng (qua sửa chữa),Hết bảo hành,,Intel Core i5,8 GB,NVIDIA,500 GB,Nước khác,In trên bao bì,desktop,3.000.000 đ
