Tình trạng,Hãng,Bộ vi xử lý,RAM,Ổ cứng,Loại ổ cứng,Card màn hình,Kích cỡ màn hình,Chính sách bảo hành,Xuất xứ,Giá
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,128 GB,,Onboard,11 - 12.9 inch,Bảo hành hãng,Việt Nam,3.300.000 đ
Mới,HP,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,2.900.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,8 GB,256 GB,,Onboard,19 - 20.9 inch,Bảo hành hãng,Nhật Bản,2.050.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,128 GB,,,,Bảo hành hãng,Đang cập nhật,3.500.000 đ
Mới,Dell,,,,,,,Bảo hành hãng,Mỹ,10.300.000 đ
Mới,Apple,Khác,8 GB,256 GB,,Khác,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,17.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,,,,,,,Bảo hành hãng,Đang cập nhật,4.100.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Pentium,4 GB,500 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.300.000 đ
Mới,Dell,Intel Core i7,,512 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,24.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,512 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,23.700.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Đang cập nhật,7.500.000 đ
Mới,Dell,Intel Core i7,> 32GB,1 TB,,Onboard,15 - 16.9 inch,7-12 tháng,Mỹ,18.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,6.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,NVIDIA,17 - 18.9 inch,3 tháng,Đang cập nhật,8.400.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i9,16 GB,1 TB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,31.600.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,,,Bảo hành hãng,Đang cập nhật,12.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,16 GB,512 GB,,Onboard,15 - 16.9 inch,Bảo hành hãng,Mỹ,10.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,2.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,4 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Việt Nam,2.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,AMD,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,16.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,8 GB,256 GB,,,,Bảo hành hãng,Đang cập nhật,15.000.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,512 GB,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,8.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,11 - 12.9 inch,Còn bảo hành,Đang cập nhật,4.290.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,512 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Trung Quốc,8.990.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,5.400.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,4-6 tháng,Mỹ,8.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Khác,11 - 12.9 inch,Còn bảo hành,Đang cập nhật,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i3,4 GB,500 GB,,Khác,15 - 16.9 inch,Hết bảo hành,Trung Quốc,123.456 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core 2 Quad,4 GB,< 128 GB,,Onboard,13 - 14.9 inch,1 tháng,Việt Nam,750.000 đ
Đã sử dụng (chưa sửa chữa),Samsung,AMD,8 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,1.600.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,4 GB,128 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,1.300.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Việt Nam,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,AMD,8 GB,512 GB,,,15 - 16.9 inch,>12 tháng,Đang cập nhật,8.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,15.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,15 - 16.9 inch,3 tháng,Mỹ,7.000.000 đ
Mới,Lenovo,Khác,8 GB,512 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Trung Quốc,7.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,4 GB,128 GB,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.800.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i5,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Việt Nam,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,4 GB,512 GB,,Onboard,15 - 16.9 inch,1 tháng,Việt Nam,5.700.000 đ
Đã sử dụng (chưa sửa chữa),MSI,Intel Core i7,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Việt Nam,10.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,3.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,11.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,5.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,10.490.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,3.800.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,20.999.999 đ
