Tình trạng,Hãng,Bộ vi xử lý,RAM,Ổ cứng,Loại ổ cứng,Card màn hình,Kích cỡ màn hình,Chính sách bảo hành,Xuất xứ,Giá
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,16 GB,256 GB,,,13 - 14.9 inch,1 tháng,Đang cập nhật,9.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core 2 Duo,2 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Việt Nam,450.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,512 GB,,,,Bảo hành hãng,Đang cập nhật,1.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,1 tháng,Mỹ,6.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,3.000.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,> 32GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,25.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Ryzen 5,8 GB,256 GB,,AMD,15 - 16.9 inch,>12 tháng,Trung Quốc,5.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,< 128 GB,,Onboard,13 - 14.9 inch,1 tháng,Việt Nam,2.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Mỹ,5.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,16 GB,512 GB,,AMD,15 - 16.9 inch,1 tháng,Mỹ,10.800.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Khác,16 GB,256 GB,,Khác,13 - 14.9 inch,1 tháng,Mỹ,11.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,4 GB,256 GB,,Onboard,15 - 16.9 inch,Hết bảo hành,Việt Nam,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,3 tháng,Nhật Bản,2.999.000 đ
Mới,Lenovo,Intel Core i7,8 GB,128 GB,,Khác,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,2.900.000 đ
Mới,HP,Intel Core i5,8 GB,128 GB,,Onboard,11 - 12.9 inch,Còn bảo hành,Đang cập nhật,2.800.000 đ
Mới,HP,Intel Core i3,8 GB,128 GB,,Onboard,15 - 16.9 inch,4-6 tháng,Đang cập nhật,3.333.000 đ
Mới,Sony,Intel Core i5,8 GB,512 GB,,Onboard,13 - 14.9 inch,1 tháng,Mỹ,15.600.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,8 GB,512 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,9.900.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Khác,4 GB,128 GB,,Onboard,11 - 12.9 inch,Hết bảo hành,Mỹ,1.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,3.000.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Intel Core i5,8 GB,256 GB,,,,Bảo hành hãng,Đang cập nhật,4.199.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Mỹ,7.300.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,4 GB,128 GB,,Khác,13 - 14.9 inch,1 tháng,Đài Loan,3.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,16 GB,512 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Nhật Bản,10.700.000 đ
Mới,Lenovo,Intel Core i5,16 GB,512 GB,,Onboard,13 - 14.9 inch,3 tháng,Trung Quốc,15.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Khác,16 GB,512 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,32.999.999 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,128 GB,,Khác,15 - 16.9 inch,1 tháng,Đang cập nhật,4.700.000 đ
Mới,Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Nhật Bản,5.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,128 GB,,NVIDIA,17 - 18.9 inch,Hết bảo hành,Việt Nam,6.000.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Khác,4 GB,128 GB,,,13 - 14.9 inch,Hết bảo hành,Đài Loan,3.200.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Khác,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,14.999.999 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,6.299.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,256 GB,,NVIDIA,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,5.800.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,,16 GB,256 GB,,,,Bảo hành hãng,Đang cập nhật,6.900.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i9,32 GB,1 TB,,NVIDIA,15 - 16.9 inch,>12 tháng,Đang cập nhật,39.990.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,4 GB,128 GB,,Khác,13 - 14.9 inch,4-6 tháng,Đang cập nhật,3.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,,,,AMD,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,5.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i3,4 GB,500 GB,,,13 - 14.9 inch,Hết bảo hành,Nước khác,2.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,10.300.000 đ
Đã sử dụng (chưa sửa chữa),HP,AMD,8 GB,256 GB,,Khác,15 - 16.9 inch,Hết bảo hành,Việt Nam,6.800.000 đ
Mới,Dell,Intel Core i5,8 GB,256 GB,,NVIDIA,13 - 14.9 inch,>12 tháng,Nước khác,13.700.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Pentium,2 GB,500 GB,,AMD,13 - 14.9 inch,3 tháng,Đài Loan,2.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Còn bảo hành,Đang cập nhật,13.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,16 GB,512 GB,,AMD,15 - 16.9 inch,1 tháng,Đang cập nhật,11.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Xeon,32 GB,256 GB,,NVIDIA,15 - 16.9 inch,7-12 tháng,Đang cập nhật,10.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,512 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,11.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,,,,,,Bảo hành hãng,Đang cập nhật,5.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,16 GB,512 GB,,NVIDIA,13 - 14.9 inch,3 tháng,Mỹ,10.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,7.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,11 - 12.9 inch,1 tháng,Nhật Bản,3.990.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,4.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,2 tháng,Việt Nam,3.200.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Việt Nam,3.000.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,4 GB,128 GB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,1.500.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Intel Core i7,16 GB,512 GB,,NVIDIA,17 - 18.9 inch,3 tháng,Việt Nam,16.500.000 đ
Mới,Lenovo,Ryzen 5,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,>12 tháng,Việt Nam,23.999.999 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,16.200.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,8 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Việt Nam,6.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,16 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,2.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Khác,4 GB,128 GB,,Khác,11 - 12.9 inch,Bảo hành hãng,Đang cập nhật,3.000.000 đ
Mới,Dell,Intel Core i5,8 GB,512 GB,,Onboard,15 - 16.9 inch,3 tháng,Mỹ,11.000.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,4 GB,128 GB,,,,Bảo hành hãng,Đang cập nhật,1.500.000 đ
Đã sử dụng (qua sửa chữa),Dell,Intel Core i5,4 GB,128 GB,,Onboard,15 - 16.9 inch,3 tháng,Việt Nam,4.500.000 đ
Đã sử dụng (qua sửa chữa),Acer,Intel Core i3,4 GB,250 GB,,,,Bảo hành hãng,Đang cập nhật,1.100.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,11.999.999 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,5.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,4 GB,128 GB,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.999.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,5.600.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,3.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,AMD,8 GB,512 GB,,Khác,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,8.290.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,128 GB,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,3.099.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,16 GB,256 GB,,NVIDIA,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,4.900.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Đài Loan,3.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,512 GB,,Onboard,15 - 16.9 inch,Còn bảo hành,Việt Nam,10.500.000 đ
Mới,Dell,,,,,,,Bảo hành hãng,Việt Nam,6.990.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Ryzen 3,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Acer,,,,,,,Bảo hành hãng,Đang cập nhật,12.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,,,Khác,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.050.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,4 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,3.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,,,Bảo hành hãng,Đang cập nhật,4.999.999 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Việt Nam,4.700.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Intel Core i7,16 GB,> 1 TB,,NVIDIA,17 - 18.9 inch,Bảo hành hãng,Nhật Bản,9.490.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i5,8 GB,512 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,6.790.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,5.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,4.567.891 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,700 GB,,,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,3.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,5.100.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,11.500.000 đ
Mới,Dell,,,,,,,Bảo hành hãng,Mỹ,26.500.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i5,8 GB,256 GB,,,15 - 16.9 inch,Hết bảo hành,Nước khác,2.800.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,5.200.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i3,6 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Trung Quốc,650.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Ryzen 9,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Mỹ,19.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,NVIDIA,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,3.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,1 TB,,AMD,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,5.800.000 đ
Đã sử dụng (qua sửa chữa),Apple,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,7.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,,,,,1 tháng,Mỹ,2.800.000 đ
Đã sử dụng (chưa sửa chữa),Samsung,Intel Atom,2 GB,320 GB,,,9 - 10.9 inch,Bảo hành hãng,Hàn Quốc,600.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,8 GB,128 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,4.400.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Intel Core i5,8 GB,,,,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,5.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,,,,13 - 14.9 inch,1 tháng,Mỹ,2.800.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i7,8 GB,512 GB,,Onboard,15 - 16.9 inch,4-6 tháng,Việt Nam,10.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,16 GB,1 TB,,Khác,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,14.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,512 GB,,NVIDIA,17 - 18.9 inch,3 tháng,Mỹ,15.999.999 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Intel Celeron,8 GB,256 GB,,Onboard,11 - 12.9 inch,Còn bảo hành,Trung Quốc,3.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Khác,8 GB,256 GB,,NVIDIA,13 - 14.9 inch,Hết bảo hành,Việt Nam,14.800.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,16 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Đang cập nhật,11.800.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,512 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,14.800.000 đ
Đã sử dụng (chưa sửa chữa),MSI,Intel Core i7,16 GB,512 GB,,NVIDIA,13 - 14.9 inch,4-6 tháng,Mỹ,17.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,8 GB,256 GB,,,,Bảo hành hãng,Đang cập nhật,6.800.000 đ
Mới,HP,Khác,8 GB,128 GB,,Khác,11 - 12.9 inch,3 tháng,Nhật Bản,2.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,128 GB,,NVIDIA,13 - 14.9 inch,Còn bảo hành,Việt Nam,4.200.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,250 GB,,NVIDIA,15 - 16.9 inch,Hết bảo hành,Việt Nam,3.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Ryzen 5,8 GB,256 GB,,AMD,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,7.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,8 GB,250 GB,,,,Bảo hành hãng,Đang cập nhật,3.000.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Toshiba,Intel Core i5,4 GB,,,,,Bảo hành hãng,Đang cập nhật,1.350.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,7.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Toshiba,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Nhật Bản,4.200.000 đ
Đã sử dụng (chưa sửa chữa),MSI,Intel Core i7,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,22.300.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,NVIDIA,17 - 18.9 inch,1 tháng,Mỹ,3.400.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,8 GB,256 GB,,Khác,13 - 14.9 inch,3 tháng,Nước khác,6.500.000 đ
Mới,Lenovo,Intel Core i7,16 GB,1 TB,,NVIDIA,15 - 16.9 inch,1 tháng,Mỹ,29.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,8 GB,128 GB,,,15 - 16.9 inch,Hết bảo hành,Nhật Bản,3.000.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,5.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,4 GB,128 GB,,Onboard,11 - 12.9 inch,Hết bảo hành,Việt Nam,1.499.900 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,512 GB,,,,Bảo hành hãng,Đang cập nhật,8.800.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i5,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,24.200.000 đ
Đã sử dụng (chưa sửa chữa),Toshiba,AMD,4 GB,256 GB,,AMD,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,1.690.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,4.100.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,4 GB,128 GB,,,,Bảo hành hãng,Đang cập nhật,3.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Mỹ,10.000.000 đ
Đã sử dụng (qua sửa chữa),Asus,Intel Core i5,8 GB,1 TB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,2.700.000 đ
Đã sử dụng (chưa sửa chữa),MSI,Ryzen 7,8 GB,512 GB,,AMD,15 - 16.9 inch,7-12 tháng,Việt Nam,10.490.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,NVIDIA,13 - 14.9 inch,1 tháng,Mỹ,3.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,4 GB,128 GB,,,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,2.700.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,16 GB,256 GB,,Khác,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,6.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,8 GB,128 GB,,Onboard,13 - 14.9 inch,1 tháng,Đang cập nhật,1.900.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,,,,,,,Bảo hành hãng,Đang cập nhật,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Mỹ,12.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,7.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,11 - 12.9 inch,1 tháng,Việt Nam,5.500.000 đ
Đã sử dụng (chưa sửa chữa),Toshiba,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Nhật Bản,5.800.000 đ
Đã sử dụng (chưa sửa chữa),Panasonic,,,,,,,Bảo hành hãng,Đang cập nhật,4.400.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,1 TB,,NVIDIA,17 - 18.9 inch,Hết bảo hành,Nhật Bản,5.600.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Intel Core i7,16 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Nhật Bản,4.900.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,10.800.000 đ
Đã sử dụng (chưa sửa chữa),HP,,,,,,,Bảo hành hãng,Đang cập nhật,5.400.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Mỹ,1.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,< 128 GB,,NVIDIA,13 - 14.9 inch,Hết bảo hành,Nhật Bản,3.990.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,6.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,4 GB,128 GB,,Onboard,15 - 16.9 inch,1 tháng,Nhật Bản,1.550.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,8 GB,512 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Nhật Bản,3.700.000 đ
Mới,Asus,Intel Core i5,8 GB,512 GB,,NVIDIA,13 - 14.9 inch,7-12 tháng,Việt Nam,14.000.000 đ
Mới,Apple,Khác,8 GB,256 GB,,Khác,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,16.990.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Intel Core i7,16 GB,512 GB,,Khác,13 - 14.9 inch,Còn bảo hành,Mỹ,13.800.000 đ
Đã sử dụng (chưa sửa chữa),Asus,,,,,,,Bảo hành hãng,Đang cập nhật,14.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Khác,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Intel Core i5,4 GB,128 GB,,,,Bảo hành hãng,Đang cập nhật,3.500.000 đ
Mới,Lenovo,Khác,8 GB,512 GB,,Khác,13 - 14.9 inch,>12 tháng,Mỹ,8.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,6.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,9.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Việt Nam,3.650.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,< 128 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.800.000 đ
Đã sử dụng (chưa sửa chữa),MSI,Intel Core i7,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,11.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,16 GB,256 GB,,,,Bảo hành hãng,Đang cập nhật,7.300.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,8 GB,128 GB,,NVIDIA,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,1.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,256 GB,,,,Bảo hành hãng,Việt Nam,8.300.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,11 - 12.9 inch,1 tháng,Mỹ,4.200.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,4 GB,128 GB,,Khác,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.200.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,,,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,4.300.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,NVIDIA,,1 tháng,Đang cập nhật,6.800.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i3,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,NVIDIA,13 - 14.9 inch,1 tháng,Đang cập nhật,5.300.000 đ
