,pc_brand,pc_model,elt_condition,elt_warranty (tháng),desktop_screen_size (inch),pc_cpu,pc_ram (GB),pc_vga,pc_drive_capacity (GB),elt_origin,classify,price
65,desktop,desktop,Đã sử dụng (chưa sửa chữa),2,20,Intel Core 2 Quad,6.0,Onboard,128,Việt Nam,desktop,1.800.000 đ
66,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i5,8.0,NVIDIA,120,Nước khác,desktop,4.000.000 đ
67,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i5,8.0,AMD,128,Nước khác,desktop,600.000 đ
68,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Xeon,32.0,Onboard,120,Việt Nam,desktop,9.000.000 đ
69,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i3,8.0,Onboard,128,Việt Nam,desktop,2.100.000 đ
70,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,16.0,Onboard,120,Việt Nam,desktop,900.000 đ
71,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,3.000.000 đ
72,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i3,8.0,Onboard,256,Nhật Bản,desktop,4.200.000 đ
73,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,16.0,AMD,256,Nước khác,desktop,15.900.000 đ
74,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Xeon,32.0,AMD,500,Việt Nam,desktop,4.250.000 đ
75,desktop,desktop,Mới,0,0,Intel Pentium,4.0,Onboard,250,Việt Nam,desktop,650.000 đ
76,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,8.0,Onboard,256,Nước khác,desktop,3.900.000 đ
77,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i3,16.0,NVIDIA,256,Nước khác,desktop,8.500.000 đ
78,desktop,desktop,Mới,12,21,Intel Core i3,8.0,NVIDIA,128,Nước khác,desktop,5.750.000 đ
79,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i5,8.0,Onboard,500,Nhật Bản,desktop,6.500.000 đ
