,pc_brand,pc_model,elt_condition,elt_warranty (tháng),desktop_screen_size (inch),pc_cpu,pc_ram (GB),pc_vga,pc_drive_capacity (GB),elt_origin,classify,price (VND),pc_cpu_label
144,15,101,1,0,0,14,16.0,1,250,3,0,6500000.0,2
145,15,101,1,0,21,8,16.0,2,512,3,0,3700000.0,2
146,15,101,1,0,21,8,8.0,2,500,6,0,7900000.0,2
147,15,101,1,1,0,9,16.0,2,512,3,0,9000000.0,2
148,15,101,1,0,21,9,8.0,2,250,3,0,4000000.0,2
149,15,101,2,3,0,9,8.0,2,256,2,0,1500000.0,2
150,15,101,1,0,20,8,8.0,2,128,6,0,1750000.0,2
151,15,101,1,0,21,8,8.0,1,128,6,0,2500000.0,2
152,15,101,1,3,0,9,8.0,2,250,1,0,3400000.0,2
153,15,101,1,0,0,5,4.0,2,128,3,0,1200000.0,2
154,15,101,1,1,20,9,16.0,1,128,6,0,3190000.0,2
155,15,101,1,12,0,14,32.0,0,512,6,0,6000000.0,2
156,15,101,2,1,21,9,16.0,1,256,1,0,5490000.0,2
157,15,101,1,1,21,14,32.0,0,500,1,0,7000000.0,2
158,15,101,1,0,0,9,8.0,1,256,6,0,4300000.0,2
159,15,101,1,1,21,14,16.0,0,256,8,0,4200000.0,2
160,15,101,1,3,21,9,16.0,1,256,6,0,4900000.0,2
161,15,101,1,1,21,9,8.0,1,256,1,0,4490000.0,2
162,15,101,1,0,0,14,32.0,1,500,6,0,6900000.0,2
163,15,101,0,12,21,9,8.0,1,256,6,0,3500000.0,2
164,15,101,0,12,21,9,8.0,1,256,6,0,3800000.0,2
165,15,101,1,1,21,9,16.0,1,250,1,0,5490000.0,2
166,15,101,1,0,0,8,8.0,2,256,3,0,2600000.0,2
167,15,101,0,12,21,9,8.0,1,128,6,0,3200000.0,2
168,15,101,0,12,21,9,8.0,1,128,6,0,3500000.0,2
169,15,101,1,3,21,8,8.0,1,256,3,0,7500000.0,2
170,15,101,1,0,0,8,16.0,2,1000,3,0,1900000.0,2
171,15,101,1,1,21,8,4.0,2,120,2,0,3200000.0,2
172,15,101,1,0,0,9,32.0,1,500,3,0,18900000.0,2
173,15,101,0,9,0,9,8.0,2,128,1,0,2500000.0,2
174,15,101,1,1,0,8,8.0,1,256,3,0,8000000.0,2
175,15,101,0,12,21,9,8.0,2,256,3,0,5500000.0,2
176,15,101,1,3,20,9,4.0,2,128,2,0,2600000.0,2
177,15,101,0,0,21,10,16.0,1,256,6,0,8990000.0,2
178,15,101,0,12,21,8,8.0,2,128,6,0,5000000.0,2
179,15,101,1,1,0,14,32.0,1,128,6,0,4500000.0,2
180,15,101,1,2,20,9,8.0,2,128,3,0,2500000.0,2
181,15,101,1,3,0,10,8.0,1,128,3,0,5900000.0,2
182,15,101,1,3,21,10,16.0,0,128,3,0,4500000.0,2
183,15,101,2,0,0,9,8.0,2,128,3,0,2300000.0,2
184,15,101,1,0,0,14,32.0,0,256,3,0,7700000.0,2
185,15,101,1,1,21,10,8.0,1,128,1,0,3300000.0,2
186,15,101,1,1,0,10,16.0,1,512,1,0,8900000.0,2
187,15,101,1,12,21,14,32.0,0,256,3,0,8900000.0,2
188,15,101,1,1,21,14,32.0,0,250,3,0,7900000.0,2
189,15,101,1,3,0,14,16.0,2,256,3,0,5000000.0,2
190,15,101,0,1,20,9,32.0,1,512,3,0,6900000.0,2
191,15,101,1,1,21,9,8.0,1,128,6,0,3600000.0,2
192,15,101,0,3,0,14,64.0,0,256,6,0,5500000.0,2
193,15,101,1,1,0,8,8.0,1,250,3,0,2950000.0,2
194,15,101,1,1,21,4,8.0,2,500,3,0,4500000.0,2
195,15,101,1,0,21,14,16.0,2,256,3,0,2850000.0,2
196,15,101,1,0,21,8,8.0,2,480,5,0,3200000.0,2
197,15,101,1,0,21,9,8.0,2,1000,3,0,10000000.0,2
198,15,101,1,0,0,8,16.0,2,120,3,0,8000000.0,2
199,15,101,1,0,21,14,16.0,0,256,6,0,6500000.0,2
200,15,101,1,1,21,9,8.0,1,250,6,0,6490000.0,2
201,15,101,1,0,20,9,6.0,2,500,3,0,2500000.0,2
